model,epoch_stage,path,dataset_source,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13032026_yolo8l,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8l/13032026_yolo8l_e50,models_8,50.0,158.434,1.27525,0.56362,0.5348,0.94265,0.93305,0.96543,0.64216,1.28066,0.58223,0.55179,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8l/13032026_yolo8l_e100,models_8,50.0,157.445,1.0341,0.4592,0.52349,0.97601,0.94979,0.977,0.69226,1.13899,0.49736,0.54289,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8l/13032026_yolo8l_e150,models_8,50.0,151.766,0.95363,0.42637,0.51882,0.98137,0.96749,0.97919,0.71465,1.11076,0.46655,0.54207,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8l,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8l/13032026_yolo8l_e200,models_8,50.0,137.522,0.9107,0.40973,0.51743,0.96351,0.96784,0.9837,0.71459,1.13026,0.49124,0.54275,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8m/13032026_yolo8m_e50,models_8,50.0,112.171,1.22971,0.55225,0.53103,0.95868,0.95135,0.95842,0.64427,1.25326,0.57086,0.54924,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8m/13032026_yolo8m_e100,models_8,50.0,108.583,1.02283,0.45321,0.52283,0.97493,0.95826,0.97744,0.70234,1.13536,0.51196,0.54414,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8m/13032026_yolo8m_e150,models_8,50.0,102.321,0.91963,0.41107,0.51839,0.97685,0.98117,0.98881,0.71922,1.11755,0.47346,0.54123,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8m,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8m/13032026_yolo8m_e200,models_8,50.0,94.7058,0.88307,0.39653,0.51635,0.97849,0.97903,0.98637,0.70957,1.13772,0.49711,0.54296,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8n/13032026_yolo8n_e50,models_8,50.0,54.7252,1.68419,1.05226,0.553,0.79422,0.83429,0.84166,0.48765,1.59396,0.94759,0.56959,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8n/13032026_yolo8n_e100,models_8,50.0,52.4261,1.44535,0.75172,0.53999,0.93519,0.9291,0.96388,0.59968,1.38923,0.72427,0.55505,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8n/13032026_yolo8n_e150,models_8,50.0,51.643,1.29891,0.67327,0.53392,0.96503,0.93328,0.97036,0.61087,1.35344,0.67349,0.55229,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8n,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8n/13032026_yolo8n_e200,models_8,50.0,51.4006,1.2119,0.60729,0.53102,0.96454,0.9547,0.97734,0.6388,1.29252,0.59846,0.55,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8s/13032026_yolo8s_e50,models_8,50.0,75.045,1.40287,0.65876,0.53848,0.96482,0.95184,0.97094,0.61288,1.36219,0.63802,0.55341,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8s/13032026_yolo8s_e100,models_8,50.0,70.1661,1.18082,0.52644,0.5297,0.97868,0.95062,0.97541,0.66697,1.22115,0.54707,0.54821,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8s/13032026_yolo8s_e150,models_8,50.0,67.2687,1.05367,0.46804,0.52416,0.96868,0.9749,0.97908,0.67049,1.17766,0.50426,0.54632,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8s,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8s/13032026_yolo8s_e200,models_8,50.0,65.8182,1.00377,0.4451,0.52142,0.98585,0.96862,0.98429,0.68739,1.16831,0.49351,0.54491,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8x/13032026_yolo8x_e50,models_8,50.0,228.907,1.16169,0.4859,0.52845,0.97276,0.93674,0.97432,0.66566,1.24988,0.49831,0.55341,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8x/13032026_yolo8x_e100,models_8,50.0,201.899,1.02114,0.44163,0.52311,0.97588,0.96025,0.97693,0.70216,1.15437,0.46512,0.54861,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8x/13032026_yolo8x_e150,models_8,50.0,195.8,0.90447,0.40083,0.51609,0.98679,0.96224,0.98474,0.71386,1.14717,0.47194,0.54588,4.96766e-05,4.96766e-05,4.96766e-05
13032026_yolo8x,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_8/yolo8x/13032026_yolo8x_e200,models_8,50.0,199.458,0.89349,0.40073,0.51655,0.98132,0.97699,0.9862,0.72337,1.13529,0.46793,0.54605,4.96766e-05,4.96766e-05,4.96766e-05
yolo26l,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26l/yolo26l_e50_b8,models_26,50.0,151.357,1.32017,0.50031,0.00087,0.9323,0.90795,0.95743,0.6328,1.29811,0.49861,0.001,4.96766e-05,4.96766e-05,4.96766e-05
yolo26l,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26l/yolo26l_e100_b8,models_26,50.0,144.73,1.11714,0.34816,0.00073,0.97919,0.94452,0.97816,0.6998,1.12283,0.39037,0.00088,4.96766e-05,4.96766e-05,4.96766e-05
yolo26l,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26l/yolo26l_e150_b8,models_26,50.0,142.031,1.05263,0.30617,0.00067,0.97509,0.97931,0.98084,0.70752,1.10543,0.33608,0.00085,4.96766e-05,4.96766e-05,4.96766e-05
yolo26l,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26l/yolo26l_e200_b8,models_26,50.0,140.924,0.95812,0.27314,0.00061,0.97723,0.9807,0.98658,0.7302,1.04235,0.31277,0.0008,4.96766e-05,4.96766e-05,4.96766e-05
yolo26m,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26m/yolo26m_e50_b8,models_26,50.0,126.774,1.37299,0.54108,0.0009,0.92124,0.86713,0.94266,0.61636,1.31582,0.57986,0.00102,4.96766e-05,4.96766e-05,4.96766e-05
yolo26m,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26m/yolo26m_e100_b8,models_26,50.0,119.755,1.13978,0.35253,0.00074,0.97034,0.94838,0.97726,0.69628,1.11206,0.37787,0.00087,4.96766e-05,4.96766e-05,4.96766e-05
yolo26m,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26m/yolo26m_e150_b8,models_26,50.0,116.894,1.06433,0.30862,0.00067,0.96354,0.95839,0.98424,0.71174,1.10353,0.34296,0.00086,4.96766e-05,4.96766e-05,4.96766e-05
yolo26m,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26m/yolo26m_e200_b8,models_26,50.0,118.972,0.97341,0.27523,0.00061,0.98019,0.97071,0.9897,0.72513,1.06816,0.31411,0.00083,4.96766e-05,4.96766e-05,4.96766e-05
yolo26n,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26n/yolo26n_e50_b8,models_26,50.0,83.7553,1.85719,1.53396,0.00127,0.59477,0.68999,0.66675,0.37656,1.54697,1.29304,0.00123,4.96766e-05,4.96766e-05,4.96766e-05
yolo26n,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26n/yolo26n_e100_b8,models_26,50.0,82.999,1.64952,1.03109,0.00111,0.81442,0.81992,0.898,0.54197,1.45887,0.78171,0.00115,4.96766e-05,4.96766e-05,4.96766e-05
yolo26n,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26n/yolo26n_e150_b8,models_26,50.0,83.343,1.5212,0.84529,0.001,0.85183,0.89627,0.92368,0.59744,1.3122,0.65468,0.00103,4.96766e-05,4.96766e-05,4.96766e-05
yolo26n,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26n/yolo26n_e200_b8,models_26,50.0,77.1327,1.42053,0.73148,0.00092,0.89096,0.88013,0.93834,0.62287,1.25789,0.60835,0.00097,4.96766e-05,4.96766e-05,4.96766e-05
yolo26s,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26s/yolo26s_e50_b8,models_26,50.0,96.6719,1.5649,0.67522,0.00105,0.89653,0.87802,0.9237,0.55628,1.46954,0.5787,0.00115,4.96766e-05,4.96766e-05,4.96766e-05
yolo26s,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26s/yolo26s_e100_b8,models_26,50.0,93.3453,1.31934,0.45119,0.00087,0.9728,0.93975,0.97523,0.62998,1.33939,0.43084,0.00104,4.96766e-05,4.96766e-05,4.96766e-05
yolo26s,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26s/yolo26s_e150_b8,models_26,50.0,91.0837,1.24248,0.38038,0.0008,0.98296,0.95281,0.97459,0.66051,1.23429,0.37972,0.00097,4.96766e-05,4.96766e-05,4.96766e-05
yolo26s,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26s/yolo26s_e200_b8,models_26,50.0,87.4974,1.16386,0.34561,0.00074,0.97189,0.96391,0.97825,0.66773,1.20857,0.37646,0.00093,4.96766e-05,4.96766e-05,4.96766e-05
yolo26x,50,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26x/yolo26x_e50_b8,models_26,50.0,241.298,1.26797,0.4105,0.00083,0.97519,0.93905,0.97391,0.65225,1.25216,0.43878,0.00097,4.96766e-05,4.96766e-05,4.96766e-05
yolo26x,100,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26x/yolo26x_e100_b8,models_26,50.0,225.134,1.06031,0.30605,0.00068,0.99056,0.94142,0.97669,0.70756,1.09738,0.36081,0.00086,4.96766e-05,4.96766e-05,4.96766e-05
yolo26x,150,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26x/yolo26x_e150_b8,models_26,50.0,216.603,0.94414,0.27831,0.0006,0.96934,0.92491,0.974,0.72725,1.05524,0.3781,0.00081,4.96766e-05,4.96766e-05,4.96766e-05
yolo26x,200,/home/swarl/projects/work/YOLO-analysis/inputs/models_26/yolo26x/yolo26x_e200_b8,models_26,50.0,210.369,0.94373,0.26203,0.00059,0.96996,0.96025,0.98605,0.72492,1.09506,0.31944,0.00085,4.96766e-05,4.96766e-05,4.96766e-05
